	col_name	feature_importance_vals
12	exp.day	0.050798501155382515
0	exp.minute	0.0401884217190778
10	bodytemp	0.03642696658524775
9	cohort	0.01412467618440895
11	rer	0.011709069824212218
1	subject.mass	0.008772031877823933
6	xytot	0.005699319161831858
8	allmeter	0.005673840427789471
3	vco2	0.0021892811968413375
2	vo2	0.0021226512927331608
4	feed	0.0019639754342488307
7	pedmeter	0.0006058796331806135
5	drink	0.0003489350784380505
