Test,Hat
120.52000000000001,133.43811
128.95,127.29883
136.47,137.15643
164.83,148.28127
147.1,137.61383
125.13,122.50131
133.4,133.72755
122.67,136.3094
125.82,119.37892
133.87,136.74701
116.96,121.57732
109.34,114.573296
142.97,137.23944
115.32,117.51259
143.59,127.63095
129.56,136.21303
145.29,146.6692
125.11,120.14807
128.58,126.241005
124.18,126.921555
140.87,140.55934
136.01,130.5827
149.36,148.71333
137.57,131.84154
133.79,123.69465
144.38,138.5006
131.98,129.43037
147.05,133.1693
131.68,128.6107
134.01,129.79346
147.24,136.1491
128.9,129.32738
135.8,137.24342
136.46,134.70049
118.09000000000002,117.67172
131.7,147.45105
140.67,132.5148
143.22,139.8925
115.08,125.800446
137.11,135.39008
131.25,133.71756
147.61,137.00804
139.58,136.97932
133.61,140.28766
124.62,122.39003
131.09,135.43251
128.04,140.14423
153.73999999999998,143.7607
140.19,136.34566
133.87,119.52996
137.13,129.6353
161.87,138.2238
122.19,118.12671
134.68,141.83517
149.03,135.12851
101.26,117.736855
144.36,134.04677
134.04,133.10677
154.31,138.49231
137.99,138.25742
145.28,134.56538
137.75,127.29577
139.63,133.66714
140.87,129.24377
136.49,131.154
135.87,137.17633
145.77,140.0367
140.63,145.39688
138.05,134.55727
131.35,136.60356
136.57,130.90717
132.63,137.6547
129.51,131.8497
126.02,123.5061
134.89,128.00786
118.41,126.881615
129.86,136.48544
175.05,146.58054
121.8,133.69716
127.08,133.86064
150.13,133.86179
142.51,137.58904
124.42,124.516335
159.66000000000003,149.59161
145.55,153.4409
138.12,138.54735
123.6,125.27127
143.1,136.85574
128.69,134.31638
144.42,146.40836
145.09,137.26697
147.82,139.2158
111.17,119.69599
127.61,133.56381
137.59,138.29977
132.82,138.67274
131.43,135.59355
132.16,130.32289
137.33,134.29092
133.44,120.45722
125.41999999999999,125.21298
130.51,128.99377
135.81,136.52034
140.63,138.95357
142.03,130.15901
134.67,129.9186
147.14,137.07373
123.0,135.15073
120.26,115.400764
126.14,129.75397
139.23,133.69095
120.47,126.63679
135.4,135.76884
132.46,130.1501
128.54,129.46188
135.09,135.59875
165.62,136.98785
122.3,116.11282
134.32,132.22293
142.43,133.66693
139.59,139.422
107.5,126.93661
123.69999999999999,119.099075
118.53,132.23015
108.3,125.47409
134.73,131.98462
105.04999999999998,118.067764
137.5,132.84683
126.43000000000002,118.62451
151.1,136.8998
153.58,140.89473
124.06,128.55495
132.33,135.41609
132.13,132.67336
140.73,134.10973
141.32,136.23218
133.16,132.64273
125.58,137.19522
142.47,137.09563
130.864,135.76778
136.94,142.21173
141.08,138.49593
141.23,144.23293
116.83999999999999,129.30046
113.75,122.707985
141.29,134.7842
132.46,124.78243
146.06,138.69965
137.19,138.12376
139.6,135.99664
151.9,130.15535
122.15,126.642006
137.28,138.48132
129.51,132.61444
137.72,123.71801
127.93,123.66028
115.73,121.92203
133.59,137.84999
125.64,133.4829
123.61,129.95665
127.58,135.87553
149.44,133.93225
111.43999999999998,121.11186
142.08,133.51933
126.34,133.59811
127.62,140.18547
132.28,128.59283
130.1,129.07506
115.73,118.98824
117.29,120.892006
136.41,134.9874
129.56,127.73845
124.14,125.89606
145.28,135.09595
135.34,134.18533
139.76,129.97267
142.83,140.72113
113.17999999999999,118.94539
100.53,120.289185
148.22,138.59254
145.93,135.0167
137.91,141.7807
162.10999999999999,149.34454
134.91,132.67941
136.43,128.31311
212.63,129.16736
129.74,135.36789
129.48,124.28089
135.98,137.989
126.12,128.00587
176.63,150.64838
137.79,136.34663
129.21,135.16638
137.69,137.99567
146.46,135.44682
134.83,134.03656
135.35,136.78644
129.51,117.65744
130.91,146.8185
134.53,130.23532
127.90000000000002,138.80304
