	col_name	feature_importance_vals
0	exp.minute	0.036298780643564746
10	bodytemp	0.034324686304982664
12	exp.day	0.03130254877912896
1	subject.mass	0.0204407613179832
8	allmeter	0.014952008194971495
3	vco2	0.008193881649304126
2	vo2	0.0079363691551591
9	cohort	0.007327509924790773
4	feed	0.0031970576730659724
6	xytot	0.0030194479414010792
11	rer	0.0007059057763125221
5	drink	0.0005750328630841292
7	pedmeter	0.00026686495756857257
