	col_name	feature_importance_vals
10	bodytemp	0.034889670970580905
0	exp.minute	0.02767174472822224
9	cohort	0.016778909191137503
12	exp.day	0.012793518216469176
11	rer	0.010981496281695827
6	xytot	0.006095663625077365
1	subject.mass	0.004954498468100243
8	allmeter	0.0026106995652436884
3	vco2	0.002087758121763547
2	vo2	0.0016278987951881508
7	pedmeter	0.0011176989728786258
4	feed	0.0007571347257407493
5	drink	4.069983789806116e-05
